Job Family;Sub Job Family;Job Profile;Function Code;Discipline Code;Career Path;Global Grade;SIG Full Title;Full Job Code;Career Level;Sub Job Family Description;Job Profile Description;Role Description;Grade Differentiatior;Qualifications;Specific parameters KPIs
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Professional;10;Senior Specialist General Communications;ACA000-P2-10;P2;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Has working knowledge and experience in own discipline
● Continues to build knowledge of the organization, processes and customers
● Performs a range of mainly straightforward assignments
● Uses prescribed guidelines or policies to analyze and resolve problems
● Receives a moderate level of guidance and direction";"● Typically follows prescribed guidelines or procedures to resolve problems
● Has working knowledge of basic concepts and procedures; performs a variety of routine tasks or assignments
● May train new team members and provide input to employee performance evaluations
● Works with a moderate level of guidance";University degree or equivalent and 2-4 years of work experience or equivalent;
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Professional;9;Senior Specialist General Communications;ACA000-P2-09;P2;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Has working knowledge and experience in own discipline
● Continues to build knowledge of the organization, processes and customers
● Performs a range of mainly straightforward assignments
● Uses prescribed guidelines or policies to analyze and resolve problems
● Receives a moderate level of guidance and direction";"● May have limited work experience involving basic concepts and procedures
● Develops competence by performing structured work assignments
● Uses existing procedures to solve routine or standard problems
● Works under supervision and direction from more senior level roles";University degree or equivalent and 2-4 years of work experience or equivalent;
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Professional;8;Specialist General Communications;ACA000-P1-08;P1;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Performs routine assignments in the entry level of the Professional Career Band
● Typically requires a college or university degree or the equivalent work experience and has conceptual knowledge of fundamental theories, principles and practices 
● Has no discretion to vary from established procedures by performing structured work assignments
● Uses existing procedures to solve routine or standard problems
● Receives instruction, guidance and direction from more senior level roles";"● Performs routine assignments in the entry level of the Professional Career Band
● Typically requires a college or university degree or the equivalent work experience and has conceptual knowledge of fundamental theories, principles and practices 
● Has no discretion to vary from established procedures by performing structured work assignments
● Uses existing procedures to solve routine or standard problems
● Receives instruction, guidance and direction from more senior level roles";"University degree or equivalent and 10+ years of work experience or equivalent, 
Very experienced in functionally leading cross-functional projects";University degree or equivalent and 0-1 year of work experience or equivalent
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Professional;7;Assistant / Analyst General Communications;ACA000-U3-07;U3;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Has full proficiency gained through job-related training and considerable work experience
● Completes work with a limited degree of supervision
● Likely to act as an informal resource for colleagues with less experience
● Identifies key issues and patterns from partial/conflicting data
● Takes a broad perspective to problems and spots new, less obvious solutions";"● Has full proficiency gained through job-related training and considerable work experience
● Completes work with a limited degree of supervision
● Likely to act as an informal resource for colleagues with less experience
● Identifies key issues and patterns from partial/conflicting data
● Takes a broad perspective to problems and spots new, less obvious solutions";https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/pbR3my70fsYXcEjvNzbF/pub/khc3cFl6STe9GdcUKeFP.png;
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Professional;6;Assistant / Analyst General Communications;ACA000-U2-06;U2;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Has working knowledge and skills developed through formal training or work experience
● Works within established procedures with a moderate degree of supervision
● Identifies the problem and all relevant issues in straightforward situations, assesses each using standard procedures and makes sound decisions";"● Has prior relevant training or related work experience
● Performs routine tasks following specific instructions or under close supervision
● Work is clearly defined and completed according to instruction";Vocational training in e.g. commercial field or equivalent work experience. Up to 5 years of experience, possibly further internal trainings.;
Corporate Affairs/Communications;General Communications;General Communications ;ACA;ACA000;Professional;5;Assistant / Analyst General Communications;ACA000-U2-05;U2;"Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees. Responsibilities are within the Corporate Affairs/Communications function as a generalist or in a combination of disciplines.
Develops and coordinates lines of communication within the organization among employees. Implements policies and programs to increase employee awareness and knowledge of activities affecting employees.
May have responsibility for managing programs aimed at promoting Diversity, Equity and Inclusion.";Researches, develops, plans, designs, maintains and implements policies and programs that enhance the organization's relations with the community, the public, government and regulatory authorities, shareholders and employees | Responsibilities are within the Corporate Affairs/Communications Function as a generalist or in a combination of Disciplines;"● Has working knowledge and skills developed through formal training or work experience
● Works within established procedures with a moderate degree of supervision
● Identifies the problem and all relevant issues in straightforward situations, assesses each using standard procedures and makes sound decisions";"● Has limited prior relevant training or work experience
● Has limited discretion to vary from established procedures";Vocational training in e.g. commercial field or equivalent work experience. Up to 5 years of experience, possibly further internal trainings.;
Corporate Affairs/Communications;Government Relations;Government Relations;ACA;ACA070;Professional;14;Senior Expert Government Relations;ACA070-P4-14;P4;"Develops and maintains policies and programs to ensure organizational awareness of government legislation and/or regulatory issues that affect the organization and respond to same. Ensures that the organization's interests are represented and protected in legislative proceedings and in the development of market rules and procedures. Prepares and organizes forums and gatherings with government officials to exchange ideas and information on business activities and potential legislation that may affect the organization. Acts as a resource on regulatory matters with regard to product changes. Also positions with focus on public relations, coordinating media relations and preparing external communication, and regulatory affairs which maintain relationships with regulatory authorities and external parties, are covered here. 
";Develops and maintains policies and programs to ensure organizational awareness of government legislation and/or regulatory issues that affect the organization and respond to same | Ensures that the organization's interests are represented and protected in legislative proceedings and in the development of market rules and procedures | Prepares and organizes forums and gatherings with government officials to exchange ideas and information on business activities and potential legislation that may affect the organization | Acts as a resource on regulatory matters with regard to product changes;"● Is recognized as an expert in own area within the organization
● Has specialized depth and/or breadth of expertise in own discipline or function
● Interprets internal or external issues and recommends solutions/best practices
● Solves complex problems; takes a broad perspective to identify solutions
● May lead functional teams or projects
● Works independently, with guidance in only the most complex situations
● Progression to this level is typically restricted on the basis of business requirement";"● Guides others in resolving complex issues in own specialized area and solves complex problems with implications on cross-functional business processes and outcomes
● Serves as an advisor and applies knowledge of strategies that can be deployed within own function and discipline
● Applies working knowledge of the theories and concepts in other disciplines
● May lead teams or projects with broad visibility";"University degree or equivalent and 10+ years of work experience or
  equivalent

    Profound experience in managing performance and results of diverse
  activities / multiple teams";
Corporate Affairs/Communications;Government Relations;Public Relations;ACA;ACA010;Professional;14;Senior Expert Public Relations;ACA010-P4-14;P4;Develops and maintains policies and programs to ensure organizational awareness of government legislation and/or regulatory issues that affect the organization and respond to same. Ensures that the organization's interests are represented and protected in legislative proceedings and in the development of market rules and procedures. Prepares and organizes forums and gatherings with government officials to exchange ideas and information on business activities and potential legislation that may affect the organization. Acts as a resource on regulatory matters with regard to product changes. Also positions with focus on public relations, coordinating media relations and preparing external communication, and regulatory affairs which maintain relationships with regulatory authorities and external parties, are covered here. ;Coordinates media relations and prepares external communications | Plans, prepares and relays information concerning the organization to the press and the wider community to gain understanding and acceptance for the organization | Develops and maintains lines of communication with media contacts and other external audience groups;"● Is recognized as an expert in own area within the organization
● Has specialized depth and/or breadth of expertise in own discipline or function
● Interprets internal or external issues and recommends solutions/best practices
● Solves complex problems; takes a broad perspective to identify solutions
● May lead functional teams or projects
● Works independently, with guidance in only the most complex situations
● Progression to this level is typically restricted on the basis of business requirement";"● Guides others in resolving complex issues in own specialized area and solves complex problems with implications on cross-functional business processes and outcomes
● Serves as an advisor and applies knowledge of strategies that can be deployed within own function and discipline
● Applies working knowledge of the theories and concepts in other disciplines
● May lead teams or projects with broad visibility";;
Corporate Affairs/Communications;Government Relations;Government Relations;ACA;ACA070;Professional;13;Senior Expert Government Relations;ACA070-P4-13;P4;"Develops and maintains policies and programs to ensure organizational awareness of government legislation and/or regulatory issues that affect the organization and respond to same. Ensures that the organization's interests are represented and protected in legislative proceedings and in the development of market rules and procedures. Prepares and organizes forums and gatherings with government officials to exchange ideas and information on business activities and potential legislation that may affect the organization. Acts as a resource on regulatory matters with regard to product changes. Also positions with focus on public relations, coordinating media relations and preparing external communication, and regulatory affairs which maintain relationships with regulatory authorities and external parties, are covered here. 
";Develops and maintains policies and programs to ensure organizational awareness of government legislation and/or regulatory issues that affect the organization and respond to same | Ensures that the organization's interests are represented and protected in legislative proceedings and in the development of market rules and procedures | Prepares and organizes forums and gatherings with government officials to exchange ideas and information on business activities and potential legislation that may affect the organization | Acts as a resource on regulatory matters with regard to product changes;"● Is recognized as an expert in own area within the organization
● Has specialized depth and/or breadth of expertise in own discipline or function
● Interprets internal or external issues and recommends solutions/best practices
● Solves complex problems; takes a broad perspective to identify solutions
● May lead functional teams or projects
● Works independently, with guidance in only the most complex situations
● Progression to this level is typically restricted on the basis of business requirement";"● Guides others in resolving complex issues in specialized area based on existing solutions and procedures
● Serves as an expert within own discipline
● May lead function teams or projects and serves as a best practices/quality resource
● Trains/mentors junior staff";"University degree or equivalent and 8-10 years of work experience or equivalent, 
Experience in functionally leading (sub-)projects / teams";
Corporate Affairs/Communications;Government Relations;Public Relations;ACA;ACA010;Professional;13;Senior Expert Public Relations;ACA010-P4-13;P4;Develops and maintains policies and programs to ensure organizational awareness of government legislation and/or regulatory issues that affect the organization and respond to same. Ensures that the organization's interests are represented and protected in legislative proceedings and in the development of market rules and procedures. Prepares and organizes forums and gatherings with government officials to exchange ideas and information on business activities and potential legislation that may affect the organization. Acts as a resource on regulatory matters with regard to product changes. Also positions with focus on public relations, coordinating media relations and preparing external communication, and regulatory affairs which maintain relationships with regulatory authorities and external parties, are covered here. ;Coordinates media relations and prepares external communications | Plans, prepares and relays information concerning the organization to the press and the wider community to gain understanding and acceptance for the organization | Develops and maintains lines of communication with media contacts and other external audience groups;"● Is recognized as an expert in own area within the organization
● Has specialized depth and/or breadth of expertise in own discipline or function
● Interprets internal or external issues and recommends solutions/best practices
● Solves complex problems; takes a broad perspective to identify solutions
● May lead functional teams or projects
● Works independently, with guidance in only the most complex situations
● Progression to this level is typically restricted on the basis of business requirement";"● Guides others in resolving complex issues in specialized area based on existing solutions and procedures
● Serves as an expert within own discipline
● May lead function teams or projects and serves as a best practices/quality resource
● Trains/mentors junior staff";"University degree or equivalent and 8-10 years of work experience or equivalent, 
Experience in functionally leading (sub-)projects / teams";
Corporate Affairs/Communications;Government Relations;Government Relations;ACA;ACA070;Professional;12;Expert Government Relations;ACA070-P3-12;P3;"Develops and maintains policies and programs to ensure organizational awareness of government legislation and/or regulatory issues that affect the organization and respond to same. Ensures that the organization's interests are represented and protected in legislative proceedings and in the development of market rules and procedures. Prepares and organizes forums and gatherings with government officials to exchange ideas and information on business activities and potential legislation that may affect the organization. Acts as a resource on regulatory matters with regard to product changes. Also positions with focus on public relations, coordinating media relations and preparing external communication, and regulatory affairs which maintain relationships with regulatory authorities and external parties, are covered here. 
";Develops and maintains policies and programs to ensure organizational awareness of government legislation and/or regulatory issues that affect the organization and respond to same | Ensures that the organization's interests are represented and protected in legislative proceedings and in the development of market rules and procedures | Prepares and organizes forums and gatherings with government officials to exchange ideas and information on business activities and potential legislation that may affect the organization | Acts as a resource on regulatory matters with regard to product changes;"● Has in-depth knowledge in own discipline and basic knowledge of related disciplines
● Solves complex problems; takes a new perspective on existing solutions
● Works independently; receives minimal guidance
● May lead projects or project steps within a broader project or have accountability for ongoing activities or objectives
● Acts as a resource for colleagues with less experience
● May represent the level at which career may stabilize for many years or even until retirement";"● Uses best practices and knowledge of internal or external business issues to improve products/services or processes
● Typically resolves complex problems or problems where precedent may not exist
● Often leads the work of small project teams; may formally train other employees (more junior and/or senior)
● Works independently";"University degree or equivalent and 4-8 years of work experience or equivalent, 
Initial experience in functionally leading (sub-) projects";
