Term / Concept,Type of Glossary,Short Explanation
DELEGATE,Generic Job Description Glossary,"Entrust to another person tasks or duties which require exercise of some of the authority of the person originally responsible, as ""to delegate an administrative assistant to represent the department at conferences""."
DESIGN,Generic Job Description Glossary,"Devise and execute drawings or diagrams showing the features of an object, arrangement, or procedure. Does not include preparation of specifications or detailed instructions. Frequently, the function of designing is shared with others, in which case it is more precise to use design as a noun and state a job's function in relation thereto, i.e., originate, analyze, endorse, approve, etc., the design of ....."
DEVELOP,Generic Job Description Glossary,"Create, disclose, discover, perfect, or unfold a plan or idea, in detail, gradually. Implies study and/or experiment unless otherwise stated. When used as ""to develop subordinates,"" see train."
DEVISE,Generic Job Description Glossary,"Form in the mind by combinations of ideas, new applications of principles, or new arrangements of parts."
DETERMINE,Generic Job Description Glossary,Set limits to; bound or define; settle conclusively.
DIRECT,Generic Job Description Glossary,"Govern or control work operations by establishing and implementing objectives, practices, and methods."
DIRECTION,Generic Job Description Glossary,Indicates that the incumbent establishes procedures for attaining specific goals and objectives in a broad area of work. Only the final results of work done are typically reviewed. Incumbent typically develops procedures within the limit of established policy guidelines.
DISABILITY,Generic Job Description Glossary,A physical or mental impairment that substantially limits one or more of an individual's major life activities; a record of such an impairment; or being regarded as having such an impairment.
DISCIPLINE (V),Generic Job Description Glossary,Ensure an individual's or group's adherence to rules and regulations and penalize them for actions contrary to such rules and regulations.
DISCIPLINE (N),Generic Job Description Glossary,"Branch of education, activity, or interest embodying laws or rules, a set of facts, principles, and theories."
DISCRETION,Generic Job Description Glossary,Latitude or freedom of choice within certain bounds.
DISPOSE,Generic Job Description Glossary,"Sell or otherwise get rid of materials, buildings, equipment, records, etc., which are of no further use to the company, including salvaging any usable material prior to disposal."
DISTRIBUTE,Generic Job Description Glossary,"Deliver documents, equipment, tools, records, etc., to their proper destinations by mail or personal delivery."
ENDORSE,Generic Job Description Glossary,Add support to recommendations of others. Implies a willingness to have one's name associated with a proposal or action of another.
EQUIPMENT,Generic Job Description Glossary,Fabricated or assembled material in such form as to provide tools and machines with which people work.
EQUIVALENT,Generic Job Description Glossary,"Alike in significance; virtually the same. Implies independent study but may be achieved by constructive, relevant experience."
ESSENTIAL FUNCTION,Generic Job Description Glossary,The fundamental (as opposed to marginal) job duty of the position the individual holds or desires.
ESTABLISH,Generic Job Description Glossary,Make stable or firm; settle or appoint permanently.
ESTIMATE (V),Generic Job Description Glossary,"Forecast future quantities, values, sizes, extents, etc., either on the basis of judgment or calculation."
ESTIMATE (N),Generic Job Description Glossary,"The approximation or appraisal of the value, cost, materials, staff, etc. of a program, plan, project, etc."
EVALUATES,Generic Job Description Glossary,"Ascertain or fix the value or worth of; examine, judge, appraise, or estimate."
EXAMINE,Generic Job Description Glossary,Inspect or scrutinize in detail.
EXECUTE,Generic Job Description Glossary,"Put into effect or carry out methods, plans, etc."
EXPEDITE,Generic Job Description Glossary,Speed up the process of; helps along; assist and facilitate.
FIELD,Generic Job Description Glossary,"Branch of education, activity, or interest, sometimes referred to as a discipline, embodying laws or rules, a set of facts, principles, and theories."
FILE (V),Generic Job Description Glossary,Arrange records in a methodical manner for preservation and reference.
FILE (N),Generic Job Description Glossary,A device (such as folders or cabinet) by means of which documents are kept in order; a collection of related data records. May be automated or hard copy.
FORECAST,Generic Job Description Glossary,Current prediction of future events based on specified assumptions.
FORMULATE,Generic Job Description Glossary,Create; make; evolve; elaborate; construct; builds.
FUNCTION,Generic Job Description Glossary,"Typically refers to an activity or area of responsibility, such as plant accounting, planning, analysis, administrative or clerical support, etc."
GOAL,Generic Job Description Glossary,Broad qualitative statement describing a fundamental aim of the organization.
GENERAL DIRECTION,Generic Job Description Glossary,"Indicates that the incumbent receives guidance in terms of broad goals and overall objectives, and is responsible for establishing the methods to attain them. Generally, the incumbent is in charge of an area of work and typically formulates policy for this area but does not necessarily have final authority for approving policy."
GENERAL SUPERVISION,Generic Job Description Glossary,Indicates the incumbent develops procedures for the performance of a variety of duties; or performs complex duties within established policy guidelines.
GUIDE,Generic Job Description Glossary,"Lead, step by step."
GRADE,Generic Job Description Glossary,The salary range that a PSS or MSP position is assigned to. To assign a position to a salary range/grade based on evaluation factors rather than classification specifications. Used for MSP & SMG positions.
IMPLEMENT,Generic Job Description Glossary,Carry out or fulfill by taking action.
IMPROVE,Generic Job Description Glossary,Make better.
INFORM,Generic Job Description Glossary,Communicate knowledge to others.
INITIATE,Generic Job Description Glossary,Set in motion or introduce.
INITIATIVE,Generic Job Description Glossary,Energy or foresight displayed by taking action without being specifically told to.
IN‐PROCESS CONTROL,Generic Job Description Glossary,"Control over an employee's work assignment, exercised while the work is being accomplished."
INSPECT,Generic Job Description Glossary,"Examine materials, equipment, reports, work, etc., to determine quality, suitability for use, etc."
INSTRUCT,Generic Job Description Glossary,"Teach, demonstrate, or by other methods impart knowledge to others by means of training courses. Direct that a specific activity be performed; may include directing how it is to be performed."
INTEGRATE,Generic Job Description Glossary,Combine into a whole.
INTERPRET,Generic Job Description Glossary,Explain to others (orally or in writing) the meaning or significance of something.
INTERVIEW,Generic Job Description Glossary,Question and converse with another person in order to obtain facts or opinions.
INVESTIGATE,Generic Job Description Glossary,"Uncover facts by systematically finding them, conducting a searching inquiry, and examining various sources."
"KNOWLEDGE, ADVANCED",Generic Job Description Glossary,Mastery of a field and a thorough understanding of the application of the pertinent principles; also use or mastery of a field plus a thorough understanding of a specialized area of the field.
"KNOWLEDGE, BASIC",Generic Job Description Glossary,Understanding of the elementary principles of a field.
"KNOWLEDGE, BROAD",Generic Job Description Glossary,Mastery of the principles of a field.
"KNOWLEDGE, GENERAL",Generic Job Description Glossary,"A ""talking"" acquaintance with and understanding of the principles of a field."
"KNOWLEDGE, THOROUGH",Generic Job Description Glossary,Mastery of the entire field.
LEAD,Generic Job Description Glossary,Lead workers do not have full supervisory authority but are able to schedule and control the daily working arrangements for a group of employees. Not interchangeable with “supervisor”.
LINE,Generic Job Description Glossary,Positions and personnel involved directly in executing the work for which the organization was created.
MAINTAIN,Generic Job Description Glossary,Keep is satisfactory condition.
MAJOR LIFE ACTIVITY,Generic Job Description Glossary,"Functions such as caring for oneself, performing manual tasks, walking, seeing, hearing, speaking, breathing, learning, and working."
MANAGE,Generic Job Description Glossary,"Plan, organize, direct, control, and evaluate the operation of an organizational unit, with responsibility for the output."
MATERIAL,Generic Job Description Glossary,"Substances worked upon, used up, or gradually exhausted."
METHOD,Generic Job Description Glossary,"Way, technique, or process for doing something."
MONITOR,Generic Job Description Glossary,"Keep track of, regulate, or control the operation of."
MOTIVATES,Generic Job Description Glossary,Inspire and stimulate others to maximize their performance and productivity.
NEGOTIATE,Generic Job Description Glossary,Confer with others to reach an agreement.
OBJECTIVE,Generic Job Description Glossary,Stated goal of the company or organization or individual.
OPERATE,Generic Job Description Glossary,Use equipment or systems for the purpose for which they were intended.
ORGANIZATION,Generic Job Description Glossary,Structural or functional entity; may be the entire body of a company or the whole of a subdivision of a company.
ORIGINATE,Generic Job Description Glossary,Begin or initiate.
OVERSEE,Generic Job Description Glossary,Supervise a function or operation as distinct from supervising people.
PHYSICAL OR MENTAL IMPAIRMENT,Generic Job Description Glossary,"Any physiological disorder, or condition, cosmetic disfigurement, or anatomical loss affecting one or more of the following body systems: neurological, musculoskeletal, special sense organs, respiratory (including speech organs), cardiovascular, reproductive, digestive, genito-urinary, hemic and lymphatic, skin, and endocrine; or any mental or psychological disorder, such as mental retardation, organic brain syndrome, emotional or mental illness, and specific learning disabilities."
PLACE,Generic Job Description Glossary,"Locate and choose positions for personnel, equipment, or materials."
PLAN,Generic Job Description Glossary,"Written document that outlines the results of planning, usually quantitative, so future programs can be measured and compared with a series of reference points."
PLANNING,Generic Job Description Glossary,Organized process of devising a plan.
POLICY,Generic Job Description Glossary,"Broad, generalized statement of administrative or management action to be used as a guide or basis for establishing regulations, standards, and practices necessary for effective and efficient operation or conduct of business."
PRACTICE,Generic Job Description Glossary,Specific detailed statement of a method of doing work repeatedly or habitually.
PRACTITIONER,Generic Job Description Glossary,One who performs with proficiency in a given field of knowledge or profession.
PREPARE,Generic Job Description Glossary,Non-specific term that should be followed with the word “by” and then a description of the specifics.
PRE-PERFORMANCE CONTROL,Generic Job Description Glossary,"Control over an employee's work, exercised prior to its start."
PROCEDURE,Generic Job Description Glossary,Established sequence of steps or actions to carry out a task.
PROMOTE,Generic Job Description Glossary,Advance employees to higher positions; advance or foster ideas; or encourage the use of company equipment or services.
PROPOSE,Generic Job Description Glossary,Recommend or suggest for consideration or adoption.
PURCHASE,Generic Job Description Glossary,"Commit the use of company funds for a specific purpose, whether by oral or written contract or by the exchange of money for goods or services."
QUALIFICATION STANDARDS,Generic Job Description Glossary,"The personal and professional attributes, including the skill, experience, education, physical, mental, safety, and other job-related requirements established by the employer as requirements which an individual must meet in order to be eligible for the position held or desired. Qualification standards may include a requirement that an individual not pose a direct threat to the health or safety of the individual or others. Essential Qualification Standards include the minimum qualifications necessary to perform the essential job functions. Non-Essential Standards include qualifications other than those required to effectively and safely perform the essential job functions."
QUALIFIED INDIVIDUAL WITH A DISABILITY,Generic Job Description Glossary,"An individual with a disability (1) who satisfies the requisite skill, experience, education, and other job-related requirements of the position such individual holds or desires; and (2) who, with or without reasonable accommodation, can perform the essential functions of that position."
REASONABLE ACCOMMODATION,Generic Job Description Glossary,"Any modification or adjustment to a job application process that enables a qualified individual with a disability to be considered for the position the qualified individual desires; or any modification or adjustment to the work environment or to the manner or circumstances under which the position held or desired is customarily performed, that enables an applicant or employee to perform the essential functions of the position."
RECOMMEND,Generic Job Description Glossary,Present a matter to another person for action or approval.
REPRESENT,Generic Job Description Glossary,"Stand for, symbolize, portray, depict."
RESEARCH,Generic Job Description Glossary,"Specific inquiry involving prolonged and critical investigation, having for its aim the study of new facts and their interpretation, the revision of accepted conclusions or theories that may be affected by newly discovered facts, or the practical application of such new or revised conclusions. Example: Technical research to develop new products for the company."
RESPONSIBILITY,Generic Job Description Glossary,Accountability to some higher authority for certain activities in a given sphere and for a given time.
REVIEW,Generic Job Description Glossary,"Consider or examine facts or results for accuracy, completeness, and suitability."
REVISE,Generic Job Description Glossary,Prepare a newly edited version of; changes or modify.
SCOPE,Generic Job Description Glossary,Range of activity or study.
SELECTION,Generic Job Description Glossary,Choosing from among qualified applicants the person or persons who best meet the selection criteria for the position available.
SELL,Generic Job Description Glossary,"An employee in a position that is responsible for the actual selling of goods, services, or ideas, either directly to the public or through designated representatives. (Use only for positions that are primarily sales in nature and not for sales-oriented positions in a marketing, advertising or public relations field.)"
SERVICE,Generic Job Description Glossary,"Activities performed for others, usually involving some degree of physical effort or active contact with others."
SHARE,Generic Job Description Glossary,Distribute in or to shares.
SHORTAGE,Generic Job Description Glossary,A condition of not having a sufficient amount.
SOLICIT,Generic Job Description Glossary,Ask for and obtain; seek to persuade; entreat or importune.
SPECIALIZED AREA,Generic Job Description Glossary,Broad field of work study or professional interest.
SPECIALIZED EXPERIENCE,Generic Job Description Glossary,"Level of work experience typically required for the position in question, focusing on specific skills, techniques, procedures, or methods used in a field or occupation."
STAFF,Generic Job Description Glossary,A group of employees.
STANDARD,Generic Job Description Glossary,"A criterion used in appraising quality, quantity, or cost."
STIMULATE,Generic Job Description Glossary,Encourage activity; promote development; set in motion.
STRATEGIC PLANNING,Generic Job Description Glossary,Process of determining a company's long-term goals and then identifying the best approach for achieving those goals.
SUPERVISE,Generic Job Description Glossary,"Plan and direct the work of employees, make decisions on work problems, instruct and train subordinates, check work in progress, and review completed work."
TASK,Generic Job Description Glossary,Work assignment to be completed in a specific amount of time.
SUPPORT,Generic Job Description Glossary,Assist or help.
TEACH,Generic Job Description Glossary,Help others acquire knowledge and skill by means of directed instruction.
TECHNIQUE,Generic Job Description Glossary,Method of doing a specific task.
TERMINATE,Generic Job Description Glossary,End the employment or association of an employee with the company.
TRANSACTION,Generic Job Description Glossary,Business event occurring at a particular point in time.
TRAIN,Generic Job Description Glossary,Teach a specified skill or type of behavior through practice and instruction over a period of time.
TRANSPORT,Generic Job Description Glossary,"Move personnel, materials, or equipment from one place to another."
VALUE,Generic Job Description Glossary,Provide worth or significance to.
VERIFY,Generic Job Description Glossary,Prove the truth by presentation of evidence; confirm.
CAREER PATHS,Job Architecture Glossary,"Career paths summarize generic job profiles of a similar nature of contribution to the organization across different levels. E.g., all generic job profiles with management focus can be summarized under the management career path for different levels, all generic job profiles with technical and production focus can be summarized under the operations career path for different levels. "
GENERIC JOB PROFILE,Job Architecture Glossary,"Describes the Generic Job, including the job family, roles, grade & grade differentiators.  It is aimed to include education & experience, competences & skills."
GENERIC JOB,Job Architecture Glossary,"Groups of positions with the same or very similar areas of responsibilities, activities and requirement profiles."
INDIVIDUAL JOB DESCRIPTION,Job Architecture Glossary,Describes the individual position.
JOB KEY,Job Architecture Glossary,Code assigned to a Generic Job (would be also reflected in HRIS)
JOB FAMILY,Job Architecture Glossary,Job families result from the clustering of job sub-families with similar content regarding the tasks and activities. 
INDIVIDUAL POSITION,Job Architecture Glossary,Specific occurrence of a job or role in the organization
JOB SUB-FAMILY,Job Architecture Glossary,Job Sub-families result from the clustering of similar Generic Jobs with similar content regarding the tasks and activities. 
JOB CATALOGUE,Job Architecture Glossary,"Library containing all the Generic Jobs in the organization, and it will be linked to the Generic Job Profiles."
POSITION MAPPING,Job Architecture Glossary,"Finding the right place for a position in the job architecture, based on Job-Family, Job-Subfamily, Generic Job Profile and the right career path & level."
